customer_id,signup_date,customer_segment,city,age_group
CUST-00001,2024-11-02,New Customer,Port Said,45-54
CUST-00002,2024-09-10,Returning Customer,Aswan,35-44
CUST-00003,2025-10-05,Returning Customer,Giza,25-34
CUST-00004,06/03/2025,Occasional Buyer,Luxor,25-34
CUST-00005,29/04/2025,Occasional Buyer,Giza,35-44
CUST-00006,2023-03-09,Occasional Buyer,Zagazig,25-34
CUST-00007,01-12-2025,VIP,Giza,35-44
CUST-00008,05/05/2023,Returning Customer,Aswan,45-54
CUST-00009,07-07-2023,New Customer,MANSOURA,25-34
CUST-00010,2023-09-15,New Customer,Port Said,55+
CUST-00011,2024-02-29,Returning Customer,Port Said,25-34
CUST-00012,2023-01-06,Returning Customer,Tanta,25-34
CUST-00013,2023-08-14,New Customer,Cairo,25-34
CUST-00014,2024-10-25,VIP,Cairo ,55+
CUST-00015,21/08/2023,Occasional Buyer,Giza,55+
CUST-00016,08-12-2023,Returning Customer,Luxor,18-24
CUST-00017,03/12/2025,New Customer,Tanta ,45-54
CUST-00018,23/05/2025,Occasional Buyer,Giza,35-44
CUST-00019,2023-10-31,VIP,Giza,55+
CUST-00020,10-27-2024,VIP,Aswan,55+
CUST-00021,05-31-2025,New Customer,Giza,55+
CUST-00022,16/03/2024,Returning Customer,Aswan,45-54
CUST-00023,03-27-2025,New Customer,Aswan,35-44
CUST-00024,2024-06-06,Occasional Buyer,Zagazig,18-24
CUST-00025,06-03-2025,VIP,Giza,55+
CUST-00026,05-03-2023,VIP,Port Said,45-54
CUST-00027,12-25-2024,New Customer,Aswan,55+
CUST-00028,2024-10-01,Returning Customer,Zagazig,45-54
CUST-00029,04/04/2024,VIP,GIZA,55+
CUST-00030,04-08-2024,New Customer,Aswan,35-44
CUST-00031,01/03/2023,VIP,Alexandria,35-44
CUST-00032,2023-01-13,Occasional Buyer,Alexandria,18-24
CUST-00033,22/12/2025,Occasional Buyer,Mansoura,25-34
CUST-00034,01-27-2025,VIP,Tanta,55+
CUST-00035,2023-06-23,Returning Customer,Cairo,18-24
CUST-00036,17/06/2023,Occasional Buyer,Tanta,45-54
CUST-00037,2025-04-28,New Customer,Tanta,18-24
CUST-00038,03/08/2024,VIP,Port Said ,55+
CUST-00039,2023-04-23,VIP,Cairo,25-34
CUST-00040,07/06/2024,New Customer,Tanta ,25-34
CUST-00041,09-22-2023,Returning Customer,Aswan,35-44
CUST-00042,05-28-2023,New Customer,Aswan,45-54
CUST-00043,06-09-2023,Occasional Buyer,Zagazig,45-54
CUST-00044,15/08/2024,New Customer,Giza,25-34
CUST-00045,2025-07-31,Occasional Buyer,Zagazig,25-34
CUST-00046,11/06/2025,New Customer,Port Said,35-44
CUST-00047,26/11/2024,Returning Customer,Mansoura,55+
CUST-00048,10/11/2025,VIP,Mansoura,25-34
CUST-00049,2024-04-28,VIP,Giza,55+
CUST-00050,2023-11-10,Occasional Buyer,Giza,55+
CUST-00051,07-08-2025,VIP,Port Said,35-44
CUST-00052,2023-11-06,Occasional Buyer,Luxor,35-44
CUST-00053,2024-07-16,VIP,Port Said,35-44
CUST-00054,2025-08-03,New Customer,Luxor,35-44
CUST-00055,06-07-2023,Occasional Buyer,Giza,55+
CUST-00056,03-26-2023,Returning Customer,Luxor,45-54
CUST-00057,2025-10-23,Occasional Buyer,ALEXANDRIA,18-24
CUST-00058,2025-10-30,Returning Customer,Alexandria,45-54
CUST-00059,12-09-2025,Returning Customer,Hurghada,35-44
CUST-00060,04/03/2025,New Customer,Aswan,35-44
CUST-00061,2023-05-15,Occasional Buyer,Zagazig,55+
CUST-00062,2023-11-04,Returning Customer,Zagazig,35-44
CUST-00063,03-13-2025,New Customer,Alexandria,45-54
CUST-00064,11-03-2024,New Customer,Alexandria,45-54
CUST-00065,2025-11-07,VIP,Zagazig,25-34
CUST-00066,2024-11-30,Returning Customer,Luxor,25-34
CUST-00067,2023-06-08,New Customer,Tanta,55+
CUST-00068,26/09/2023,Returning Customer,Port Said,55+
CUST-00069,2023-12-06,Occasional Buyer,Luxor,25-34
CUST-00070,28/06/2025,Occasional Buyer,Port Said,25-34
CUST-00071,2024-09-25,VIP,Luxor,55+
CUST-00072,21/06/2025,Occasional Buyer,Luxor,45-54
CUST-00073,11-28-2023,Returning Customer,Mansoura,18-24
CUST-00074,09-11-2025,New Customer,Zagazig,55+
CUST-00075,2023-09-13,Returning Customer,Tanta,55+
CUST-00076,2023-10-29,Returning Customer,Aswan,35-44
CUST-00077,2023-02-24,Occasional Buyer,Aswan,25-34
CUST-00078,01/03/2025,Returning Customer,Giza,35-44
CUST-00079,2023-10-27,VIP,Alexandria,45-54
CUST-00080,12/10/2023,New Customer,Luxor,18-24
CUST-00081,2024-06-08,Occasional Buyer,MANSOURA,25-34
CUST-00082,2024-09-08,Returning Customer,Giza,55+
CUST-00083,2025-07-25,Occasional Buyer,Giza,18-24
CUST-00084,2025-11-21,Returning Customer,Port Said,18-24
CUST-00085,12-23-2024,Occasional Buyer,Mansoura,18-24
CUST-00086,2025-12-08,New Customer,Zagazig,45-54
CUST-00087,31/03/2023,VIP,Aswan,35-44
CUST-00088,2023-05-19,New Customer,Zagazig,35-44
CUST-00089,01/10/2023,VIP,Cairo,25-34
CUST-00090,08-09-2025,Returning Customer,Luxor,18-24
CUST-00091,26/07/2025,Returning Customer,cairo,18-24
CUST-00092,10-08-2024,Occasional Buyer,Tanta,55+
CUST-00093,2025-08-27,Returning Customer,Tanta,18-24
CUST-00094,2024-11-10,VIP,Tanta,45-54
CUST-00095,19/06/2025,Returning Customer,Aswan,45-54
CUST-00096,22/01/2025,New Customer,Hurghada,18-24
CUST-00097,2025-05-31,VIP,Port Said,18-24
CUST-00098,02/11/2024,Occasional Buyer,Tanta,45-54
CUST-00099,08/12/2023,Occasional Buyer,LUXOR,55+
CUST-00100,06-09-2025,New Customer,Tanta ,35-44
CUST-00101,2025-11-16,Returning Customer,Alexandria,45-54
CUST-00102,2023-03-13,Returning Customer,Alexandria,35-44
CUST-00103,01-11-2025,New Customer,Aswan,45-54
CUST-00104,29/01/2025,New Customer,Zagazig,55+
CUST-00105,21/01/2025,VIP,Aswan,18-24
CUST-00106,23/02/2023,Occasional Buyer,Alexandria,18-24
CUST-00107,06-20-2024,Occasional Buyer,Tanta,55+
CUST-00108,2024-08-07,New Customer,Luxor,18-24
CUST-00109,07-14-2025,Occasional Buyer,Alexandria,35-44
CUST-00110,12-12-2024,VIP,Giza,25-34
CUST-00111,12-23-2023,Returning Customer,Zagazig,25-34
CUST-00112,12/10/2023,New Customer,Mansoura,55+
CUST-00113,01-25-2025,Returning Customer,Luxor,18-24
CUST-00114,15/05/2023,Occasional Buyer,Tanta,45-54
CUST-00115,01/06/2023,New Customer,Alexandria,55+
CUST-00116,12-06-2024,Returning Customer,Alexandria,25-34
CUST-00117,2025-06-05,New Customer,Hurghada,35-44
CUST-00118,04/12/2023,Returning Customer,Alexandria,55+
CUST-00119,04/08/2024,Returning Customer,Giza,55+
CUST-00120,07-16-2024,VIP,Alexandria,18-24
CUST-00121,10-26-2025,Returning Customer,Alexandria,55+
CUST-00122,2024-11-22,New Customer, Port Said,35-44
CUST-00123,07/03/2024,New Customer,Port Said,55+
CUST-00124,16/08/2024,Returning Customer,Tanta,45-54
CUST-00125,2024-09-01,New Customer,Luxor,45-54
CUST-00126,2025-09-18,VIP,Luxor,35-44
CUST-00127,15/10/2024,Returning Customer,Zagazig,55+
CUST-00128,2023-08-06,Occasional Buyer,Zagazig,45-54
CUST-00129,2024-05-22,New Customer,Alexandria,45-54
CUST-00130,2025-05-06,VIP,Mansoura,35-44
CUST-00131,24/01/2024,Occasional Buyer,Alexandria,35-44
CUST-00132,2025-10-15,Occasional Buyer,Cairo,25-34
CUST-00133,16/03/2024,New Customer,Port Said ,55+
CUST-00134,08-21-2025,New Customer,Tanta,45-54
CUST-00135,10-02-2023,VIP,Tanta,35-44
CUST-00136,2023-04-03,Returning Customer,Aswan,35-44
CUST-00137,05-31-2023,Occasional Buyer,Aswan,35-44
CUST-00138,2023-09-01,Occasional Buyer,Alexandria,35-44
CUST-00139,2025-01-18,Occasional Buyer,Alexandria,18-24
CUST-00140,03-21-2023,VIP,Alexandria,55+
CUST-00141,07-24-2025,Returning Customer,Alexandria,55+
CUST-00142,14/10/2024,VIP,Alexandria,55+
CUST-00143,09/11/2025,VIP,Hurghada,18-24
CUST-00144,01-24-2025,New Customer,Zagazig,55+
CUST-00145,09-22-2024,Occasional Buyer,Cairo,55+
CUST-00146,04-11-2024,Occasional Buyer,Cairo,55+
CUST-00147,02-17-2025,Returning Customer,Alexandria,25-34
CUST-00148,08/02/2023,Occasional Buyer,Luxor,25-34
CUST-00149,04-20-2025,Occasional Buyer,Hurghada,18-24
CUST-00150,2023-10-10,VIP,Hurghada,45-54
CUST-00151,12/12/2025,Returning Customer,Aswan,55+
CUST-00152,02/12/2024,VIP,Hurghada,25-34
CUST-00153,05-19-2024,VIP,Tanta,35-44
CUST-00154,08-14-2024,Occasional Buyer,Mansoura,35-44
CUST-00155,2024-07-14,Occasional Buyer,Tanta,45-54
CUST-00156,07/12/2024,New Customer,Alexandria,18-24
CUST-00157,12-10-2024,VIP,Luxor,25-34
CUST-00158,18/02/2024,VIP,Hurghada,55+
CUST-00159,2024-05-05,Returning Customer,Mansoura,18-24
CUST-00160,25/07/2023,Occasional Buyer,aswan,18-24
CUST-00161,11-20-2023,Occasional Buyer,Aswan,25-34
CUST-00162,11/08/2024,New Customer,Zagazig,18-24
CUST-00163,04-20-2024,New Customer,Hurghada,25-34
CUST-00164,2025-05-05,Occasional Buyer,Alexandria,25-34
CUST-00165,2024-08-15,VIP,Cairo,18-24
CUST-00166,17/11/2024,Occasional Buyer,Tanta,25-34
CUST-00167,29/10/2025,Returning Customer,Luxor,35-44
CUST-00168,11-29-2023,VIP,Luxor,18-24
CUST-00169,11-21-2024,Returning Customer,Tanta,45-54
CUST-00170,25/05/2025,New Customer,Hurghada,18-24
CUST-00171,14/01/2024,VIP,Alexandria,18-24
CUST-00172,2024-06-18,Occasional Buyer,Aswan,35-44
CUST-00173,09-10-2024,New Customer,Port Said,35-44
CUST-00174,04-28-2024,New Customer,Cairo,25-34
CUST-00175,04-10-2025,VIP,Hurghada,35-44
CUST-00176,2025-01-22,Returning Customer,Port Said,45-54
CUST-00177,11-10-2023,VIP,Luxor,55+
CUST-00178,08-22-2025,Returning Customer,Hurghada,55+
CUST-00179,17/06/2023,VIP, Hurghada,18-24
CUST-00180,05-07-2023,Returning Customer,Hurghada,25-34
CUST-00181,12-03-2023,Occasional Buyer,zagazig,55+
CUST-00182,09-28-2025,Occasional Buyer,Giza,45-54
CUST-00183,28/09/2023,Occasional Buyer,Hurghada,55+
CUST-00184,08-04-2025,New Customer,Tanta,18-24
CUST-00185,2024-03-22,New Customer,Port Said,18-24
CUST-00186,04/05/2023,New Customer,Giza,25-34
CUST-00187,05/10/2023,Occasional Buyer,Aswan,45-54
CUST-00188,02-08-2025,Returning Customer,Giza,35-44
CUST-00189,08-31-2023,Occasional Buyer,Alexandria,25-34
CUST-00190,08/01/2023,Occasional Buyer,Cairo,55+
CUST-00191,18/05/2025,Returning Customer,Hurghada,35-44
CUST-00192,2023-11-14,New Customer,Tanta ,55+
CUST-00193,2023-02-02,New Customer,Mansoura,45-54
CUST-00194,04-10-2023,New Customer,Mansoura,25-34
CUST-00195,2024-03-20,VIP,Cairo,55+
CUST-00196,10-15-2024,VIP,Port Said,25-34
CUST-00197,03/12/2025,VIP,Mansoura,55+
CUST-00198,12-25-2023,Occasional Buyer,ASWAN,45-54
CUST-00199,12-10-2025,Occasional Buyer,Zagazig,35-44
CUST-00200,02-09-2025,Occasional Buyer,Alexandria,25-34
CUST-00201,07/09/2024,New Customer,Alexandria,45-54
CUST-00202,21/12/2025,Returning Customer,Alexandria,35-44
CUST-00203,11/06/2023,New Customer,Luxor,25-34
CUST-00204,16/04/2023,New Customer,Tanta,25-34
CUST-00205,2024-03-20,VIP,Luxor,18-24
CUST-00206,03-09-2024,New Customer,Mansoura,45-54
CUST-00207,05-11-2024,Returning Customer,Port Said,25-34
CUST-00208,20/10/2024,Occasional Buyer,Tanta,35-44
CUST-00209,23/09/2024,Occasional Buyer,Tanta,45-54
CUST-00210,17/10/2024,VIP,Mansoura,55+
CUST-00211,2024-03-29,VIP,Alexandria,55+
CUST-00212,2025-05-05,Returning Customer,Tanta,45-54
CUST-00213,05-18-2024,VIP,Luxor,45-54
CUST-00214,2025-10-01,VIP,Luxor,55+
CUST-00215,09-27-2025,New Customer,Alexandria,18-24
CUST-00216,10/04/2023,Returning Customer,Cairo,25-34
CUST-00217,2023-05-20,Returning Customer,Alexandria,35-44
CUST-00218,05-04-2023,Occasional Buyer,Port Said,18-24
CUST-00219,01-14-2023,Occasional Buyer, Hurghada,35-44
CUST-00220,08-10-2024,Occasional Buyer,Cairo,25-34
CUST-00221,08-08-2023,Returning Customer,Giza,55+
CUST-00222,14/12/2025,VIP,Tanta,18-24
CUST-00223,03/02/2025,Returning Customer,Aswan,25-34
CUST-00224,09-06-2024,New Customer,Giza ,45-54
CUST-00225,09-01-2025,New Customer,Cairo,18-24
CUST-00226,10-20-2025,VIP,Aswan,18-24
CUST-00227,2025-12-17,Returning Customer,Cairo,55+
CUST-00228,2025-08-31,New Customer,Tanta,35-44
CUST-00229,09/03/2023,New Customer,Alexandria,55+
CUST-00230,2023-10-23,VIP,Aswan,25-34
CUST-00231,07/03/2025,Occasional Buyer,Hurghada,25-34
CUST-00232,06-10-2023,VIP,Hurghada ,25-34
CUST-00233,06-05-2023,Occasional Buyer,Zagazig,35-44
CUST-00234,02/03/2023,Occasional Buyer,Tanta,55+
CUST-00235,2025-02-07,Occasional Buyer, Aswan,35-44
CUST-00236,2024-05-19,VIP,Giza,25-34
CUST-00237,08/03/2025,New Customer,ZAGAZIG,45-54
CUST-00238,2025-01-07,Returning Customer,Tanta ,45-54
CUST-00239,2025-11-15,New Customer, Aswan,18-24
CUST-00240,2024-10-26,VIP,Aswan,18-24
CUST-00241,05-12-2024,Returning Customer,Port Said,25-34
CUST-00242,12/10/2023,VIP,Tanta,18-24
CUST-00243,09/12/2023,Occasional Buyer,Aswan,18-24
CUST-00244,2025-01-09,Occasional Buyer,Tanta,25-34
