date,channel,campaign_name,spend,clicks,impressions,conversions,attributed_revenue
01-01-2025,Meta Ads,New Customer Acquisition - Meta Ads,2011.17,444,27962,5,614.81
2025-01-01,Email,Summer Deals - Email,586.82,1663,5390,74,4168.65
01-01-2025,TikTok Ads,Flash Promo - TikTok Ads,646.98,4498,24781,181,24478.74
2025-01-02,Google Ads,Holiday Campaign - Google Ads,146.85,4016,9825,0,0.0
2025-01-02,Meta Ads,New Customer Acquisition - Meta Ads,1934.7,929,88064,0,0.0
2025-01-02,Email,Flash Promo - Email,2443.64,2063,50113,70,8959.49
2025-01-02,TikTok Ads,Back to School - TikTok Ads,2313.64,5770,83295,126,5636.58
01-03-2025,Google Ads,Winter Sale - Google Ads,2089.39,4383,62286,259,13914.61
2025-01-03,Meta Ads,Summer Deals - Meta Ads,389.33,4283,85500,278,25634.98
2025-01-03,Email,Winter Sale - Email,665.76,3274,49885,377,23747.49
2025-01-03,TikTok Ads,New Customer Acquisition - TikTok Ads,1311.16,4472,44148,177,21682.12
04/01/2025,Meta Ads,New Customer Acquisition - Meta Ads,1730.93,3911,86329,114,5136.74
2025-01-04,Email,VIP Retargeting - Email,639.49,3198,87392,198,34004.34
2025-01-04,TikTok Ads,Summer Deals - TikTok Ads,2159.61,1047,35308,64,5649.12
2025-01-04,Affiliate,Summer Deals - Affiliate,882.07,365,76765,0,0.0
05/01/2025,Google Ads,Winter Sale - Google Ads,1964.79,726,4337,9,1178.11
2025-01-05,Meta Ads,Winter Sale - Meta Ads,441.48,659,21631,65,9695.3
01-05-2025,Email,VIP Retargeting - Email,1362.93,679,67641,54,2781.75
05/01/2025,Affiliate,Holiday Campaign - Affiliate,991.45,1142,54694,37,2804.86
06/01/2025,Google Ads,Winter Sale - Google Ads,1272.25,1307,86568,110,17604.28
2025-01-06,Meta Ads,Winter Sale - Meta Ads,349.77,5072,26752,214,21363.05
01-06-2025,Email,Winter Sale - Email,1838.17,4553,32370,525,85819.63
2025-01-06,TikTok Ads,VIP Retargeting - TikTok Ads,712.34,5257,82700,518,54812.57
01-07-2025,Google Ads,Holiday Campaign - Google Ads,546.94,4826,89674,74,8059.95
01-07-2025,Meta Ads,New Customer Acquisition - Meta Ads,1062.51,2457,71142,49,4983.04
07/01/2025,Email,Holiday Campaign - Email,1926.76,4680,55675,491,49663.75
08/01/2025,Meta Ads,Back to School - Meta Ads,509.33,5707,58761,620,37078.86
2025-01-08,Email,Winter Sale - Email,829.71,2046,88682,228,11333.42
2025-01-08,TikTok Ads,Flash Promo - TikTok Ads,702.74,5894,65231,343,23448.18
08/01/2025,Affiliate,Holiday Campaign - Affiliate,1858.47,4442,54485,44,4842.85
2025-01-09,Google Ads,Summer Deals - Google Ads,484.81,773,63841,2,285.57
01-09-2025,Meta Ads,Back to School - Meta Ads,1034.9,3705,33990,436,51863.8
01-09-2025,Affiliate,VIP Retargeting - Affiliate,1416.78,397,64344,14,1152.87
01-10-2025,Google Ads,Flash Promo - Google Ads,1102.89,2798,26320,308,29655.11
2025-01-10,Meta Ads,Holiday Campaign - Meta Ads,1796.46,3837,87711,228,17093.89
01-10-2025,Email,Winter Sale - Email,348.55,5519,16193,373,33764.3
10/01/2025,TikTok Ads,Winter Sale - TikTok Ads,138.12,3846,4084,52,4270.2
2025-01-11,Google Ads,Summer Deals - Google Ads,1350.07,3458,6974,317,30597.66
01-11-2025,Meta Ads,Summer Deals - Meta Ads,262.19,4937,60931,93,10254.86
12/01/2025,Google Ads,Summer Deals - Google Ads,151.27,3760,64998,262,29197.65
01-12-2025,Email,Winter Sale - Email,591.12,5237,24946,90,6419.08
01-12-2025,TikTok Ads,Back to School - TikTok Ads,1382.08,1967,13847,61,9713.79
01-12-2025,Affiliate,VIP Retargeting - Affiliate,2480.7,2048,5548,123,13212.22
01-13-2025,Google Ads,Winter Sale - Google Ads,441.49,556,11742,48,6108.4
2025-01-13,Meta Ads,Back to School - Meta Ads,1686.25,4259,47008,0,0.0
2025-01-13,Email,Holiday Campaign - Email,1179.59,393,79315,0,0.0
01-13-2025,TikTok Ads,Holiday Campaign - TikTok Ads,633.27,2545,34889,0,0.0
01-13-2025,Affiliate,VIP Retargeting - Affiliate,1686.41,485,22933,34,5536.42
2025-01-14,Google Ads,New Customer Acquisition - Google Ads,1817.47,1521,76368,170,27845.22
14/01/2025,Meta Ads,Back to School - Meta Ads,1311.29,2230,15049,225,13638.94
2025-01-14,TikTok Ads,Holiday Campaign - TikTok Ads,888.73,5505,46579,294,12932.27
2025-01-14,Affiliate,Summer Deals - Affiliate,890.86,3322,11665,236,18692.67
15/01/2025,Meta Ads,New Customer Acquisition - Meta Ads,2193.78,504,33248,29,4660.24
15/01/2025,TikTok Ads,New Customer Acquisition - TikTok Ads,314.7,2537,19463,213,34731.76
01-15-2025,Affiliate,VIP Retargeting - Affiliate,650.7,1301,10885,117,12406.16
2025-01-16,Email,Flash Promo - Email,2014.18,3564,21235,249,24189.75
2025-01-16,TikTok Ads,Winter Sale - TikTok Ads,1376.5,5645,81846,0,0.0
01-16-2025,Affiliate,New Customer Acquisition - Affiliate,1635.15,4349,71625,71,7687.05
2025-01-17,Google Ads,New Customer Acquisition - Google Ads,274.92,4904,42577,370,42815.17
2025-01-17,Meta Ads,Holiday Campaign - Meta Ads,372.57,4302,25614,209,15393.69
17/01/2025,Email,Winter Sale - Email,1954.26,5986,46768,0,0.0
17/01/2025,TikTok Ads,VIP Retargeting - TikTok Ads,947.05,731,20286,1,163.99
01-17-2025,Affiliate,Back to School - Affiliate,1332.75,4956,31255,324,48382.82
2025-01-18,Google Ads,Flash Promo - Google Ads,875.47,1074,72161,52,3960.31
18/01/2025,Meta Ads,Winter Sale - Meta Ads,2483.05,2543,9245,120,9015.4
18/01/2025,TikTok Ads,VIP Retargeting - TikTok Ads,655.56,1847,25418,53,8397.52
01-19-2025,Google Ads,Holiday Campaign - Google Ads,863.93,2575,70358,27,3357.94
19/01/2025,Meta Ads,New Customer Acquisition - Meta Ads,957.15,4320,79746,94,7160.01
19/01/2025,Email,Winter Sale - Email,955.86,4912,42696,186,9759.65
01-19-2025,TikTok Ads,New Customer Acquisition - TikTok Ads,282.13,1454,58544,27,2278.61
20/01/2025,Google Ads,Flash Promo - Google Ads,1081.96,3779,39526,265,19969.72
20/01/2025,Meta Ads,Winter Sale - Meta Ads,261.31,4861,76796,106,17439.81
2025-01-20,Email,VIP Retargeting - Email,590.77,2296,20528,252,19592.75
01-20-2025,TikTok Ads,Holiday Campaign - TikTok Ads,1457.05,2255,61004,147,18855.99
2025-01-20,Affiliate,New Customer Acquisition - Affiliate,948.37,2407,68601,202,27528.9
01-21-2025,Google Ads,Back to School - Google Ads,1943.32,700,19404,60,6033.33
2025-01-21,Meta Ads,Holiday Campaign - Meta Ads,639.63,5326,66611,130,21821.29
2025-01-21,Email,Winter Sale - Email,590.78,974,21088,7,393.77
01-21-2025,TikTok Ads,Summer Deals - TikTok Ads,774.39,3286,52612,357,24436.21
01-21-2025,Affiliate,Back to School - Affiliate,1048.76,5225,41687,290,18337.65
2025-01-22,TikTok Ads,Summer Deals - TikTok Ads,1575.28,2941,29246,51,3639.96
2025-01-22,Affiliate,Winter Sale - Affiliate,1236.3,3128,61794,203,8827.2
2025-01-23,Google Ads,VIP Retargeting - Google Ads,2158.21,359,35252,27,3274.28
23/01/2025,Meta Ads,Back to School - Meta Ads,1917.95,4025,42061,325,18214.65
01-23-2025,Email,Winter Sale - Email,233.92,1638,84696,71,6611.39
2025-01-23,TikTok Ads,New Customer Acquisition - TikTok Ads,1613.12,893,63883,93,11189.99
01-23-2025,Affiliate,Back to School - Affiliate,699.4,1670,85619,118,12815.48
24/01/2025,Google Ads,Summer Deals - Google Ads,268.92,3765,42115,36,6101.95
2025-01-24,TikTok Ads,Winter Sale - TikTok Ads,2426.43,3736,44036,399,67771.14
25/01/2025,Google Ads,Flash Promo - Google Ads,939.22,2561,39175,3,177.63
01-25-2025,Meta Ads,VIP Retargeting - Meta Ads,1393.48,5405,24808,0,0.0
25/01/2025,Email,New Customer Acquisition - Email,1585.37,387,34120,23,1278.48
01-25-2025,Affiliate,Holiday Campaign - Affiliate,2290.94,839,37598,20,3509.31
26/01/2025,Email,Back to School - Email,887.28,3389,40471,0,0.0
2025-01-26,TikTok Ads,New Customer Acquisition - TikTok Ads,1528.21,3970,57779,133,11627.64
01-27-2025,Google Ads,New Customer Acquisition - Google Ads,2139.82,1475,41820,98,8156.39
01-27-2025,Email,Back to School - Email,1675.02,3289,32174,155,19224.84
2025-01-27,TikTok Ads,New Customer Acquisition - TikTok Ads,477.93,4919,33309,405,39606.51
28/01/2025,Google Ads,Summer Deals - Google Ads,761.84,2664,3923,65,3033.28
2025-01-28,Meta Ads,Holiday Campaign - Meta Ads,2131.81,2078,24358,37,3515.55
28/01/2025,Email,Flash Promo - Email,1869.91,5010,60289,495,21863.7
2025-01-28,Affiliate,Flash Promo - Affiliate,1127.43,1356,80168,23,3945.45
01-29-2025,Google Ads,Summer Deals - Google Ads,1045.56,4994,32190,596,45024.37
2025-01-29,Meta Ads,Back to School - Meta Ads,1221.85,3115,31532,326,18132.34
29/01/2025,Email,Winter Sale - Email,1798.24,141,65661,6,965.49
29/01/2025,TikTok Ads,VIP Retargeting - TikTok Ads,700.84,5274,10229,387,59500.08
29/01/2025,Affiliate,New Customer Acquisition - Affiliate,2323.76,3808,17793,232,28194.84
30/01/2025,Google Ads,Flash Promo - Google Ads,226.67,1983,64864,46,7522.86
30/01/2025,Meta Ads,New Customer Acquisition - Meta Ads,2266.57,5416,5962,47,3731.44
30/01/2025,Email,Summer Deals - Email,1338.14,2618,17717,162,10867.99
30/01/2025,Affiliate,Holiday Campaign - Affiliate,692.96,4388,16715,0,0.0
31/01/2025,Google Ads,Winter Sale - Google Ads,1480.02,3352,74884,389,50421.68
31/01/2025,Email,New Customer Acquisition - Email,2207.33,3852,30288,124,15515.64
31/01/2025,TikTok Ads,Back to School - TikTok Ads,1553.92,1321,16976,6,310.83
2025-01-31,Affiliate,Back to School - Affiliate,1945.34,3882,55434,454,20536.38
02-01-2025,Meta Ads,Back to School - Meta Ads,651.68,4314,67301,355,36280.17
2025-02-01,Email,Winter Sale - Email,2294.1,1772,6496,47,3933.39
01/02/2025,TikTok Ads,Winter Sale - TikTok Ads,1705.74,1227,68999,7,929.34
2025-02-02,Google Ads,Flash Promo - Google Ads,1649.45,865,12102,6,1053.52
02-03-2025,Google Ads,New Customer Acquisition - Google Ads,1616.34,5253,41179,581,60108.52
02-03-2025,TikTok Ads,Winter Sale - TikTok Ads,2410.95,4778,62674,311,42497.4
02-04-2025,Google Ads,Summer Deals - Google Ads,1745.19,435,35048,4,293.01
2025-02-04,Meta Ads,New Customer Acquisition - Meta Ads,273.92,3562,6988,44,1769.41
2025-02-04,Email,Flash Promo - Email,261.96,4104,73882,419,17825.5
2025-02-04,Affiliate,Summer Deals - Affiliate,957.96,3640,56107,3,480.74
2025-02-05,Google Ads,Holiday Campaign - Google Ads,1388.02,186,69428,3,374.82
02-05-2025,Meta Ads,Summer Deals - Meta Ads,395.98,3034,44254,222,20434.17
2025-02-05,Email,Summer Deals - Email,2209.12,3966,23417,182,26671.86
2025-02-05,TikTok Ads,Summer Deals - TikTok Ads,826.06,3040,51049,185,10673.37
2025-02-05,Affiliate,Holiday Campaign - Affiliate,549.75,529,41842,15,2602.09
02-06-2025,Google Ads,New Customer Acquisition - Google Ads,1435.79,3493,69708,143,19658.62
2025-02-06,Affiliate,Holiday Campaign - Affiliate,649.46,3182,32811,67,2975.29
02-07-2025,Google Ads,VIP Retargeting - Google Ads,1255.19,1438,71681,83,6377.83
02-07-2025,Meta Ads,Flash Promo - Meta Ads,679.7,904,58561,10,641.03
07/02/2025,Email,New Customer Acquisition - Email,1497.71,1276,50630,52,8155.4
07/02/2025,TikTok Ads,Winter Sale - TikTok Ads,1322.7,4304,51705,0,0.0
02-07-2025,Affiliate,New Customer Acquisition - Affiliate,988.69,5897,21923,565,68560.73
08/02/2025,Email,New Customer Acquisition - Email,1436.35,1517,69114,48,5611.66
08/02/2025,TikTok Ads,Summer Deals - TikTok Ads,2213.41,3988,41956,256,39132.09
02-08-2025,Affiliate,Winter Sale - Affiliate,1514.84,5311,83498,0,0.0
09/02/2025,Google Ads,Summer Deals - Google Ads,1218.32,3047,38966,17,1747.81
09/02/2025,Meta Ads,VIP Retargeting - Meta Ads,2499.85,2390,23265,270,17391.5
09/02/2025,TikTok Ads,Flash Promo - TikTok Ads,974.69,804,44263,45,3576.28
02-09-2025,Affiliate,Back to School - Affiliate,550.93,277,50662,1,178.13
02-10-2025,Google Ads,VIP Retargeting - Google Ads,2291.9,713,85902,6,947.52
02-10-2025,Meta Ads,Summer Deals - Meta Ads,1439.7,4439,85706,96,11555.37
2025-02-10,Email,New Customer Acquisition - Email,932.56,2344,17455,7,597.77
02-10-2025,TikTok Ads,Holiday Campaign - TikTok Ads,2082.19,4205,5420,305,15134.08
02-10-2025,Affiliate,New Customer Acquisition - Affiliate,1547.7,4626,73963,540,49187.84
11/02/2025,Google Ads,Flash Promo - Google Ads,465.34,3136,76020,311,28895.99
02-11-2025,Meta Ads,Flash Promo - Meta Ads,2014.77,3509,78879,341,22894.62
11/02/2025,Email,Summer Deals - Email,2392.22,4895,66486,230,30643.65
2025-02-11,TikTok Ads,VIP Retargeting - TikTok Ads,128.68,2971,31784,0,0.0
11/02/2025,Affiliate,Holiday Campaign - Affiliate,2290.6,1864,46264,73,9696.11
2025-02-12,Google Ads,Summer Deals - Google Ads,1030.68,5375,79716,292,29066.77
02-12-2025,Affiliate,Holiday Campaign - Affiliate,2282.65,4394,61629,95,15134.67
13/02/2025,Google Ads,Flash Promo - Google Ads,543.47,5912,20267,252,26049.58
02-13-2025,Email,Winter Sale - Email,1649.29,3223,89253,294,27112.8
13/02/2025,TikTok Ads,New Customer Acquisition - TikTok Ads,681.83,4782,27202,298,40520.59
2025-02-13,Affiliate,Winter Sale - Affiliate,1753.29,3239,53616,191,8127.96
02-14-2025,Google Ads,Winter Sale - Google Ads,1997.27,738,22080,38,3403.99
14/02/2025,Meta Ads,Summer Deals - Meta Ads,1378.77,2953,67330,185,14733.66
02-14-2025,Email,Back to School - Email,1241.5,5604,47250,471,61190.29
