order_id,order_date,customer_id,store_id,product_id,quantity,unit_price,discount_amount,payment_method,sales_channel
ORD-009516,2025-07-08,CUST-03483,STORE-025,PROD-0180,3,231.61,34.74,Bank Transfer,Marketplace
ORD-005346,23/12/2025,CUST-03898,STORE-011,PROD-0171,1,552.47,55.25,Wallet,Marketplace
ORD-009265,30/08/2025,CUST-02686,STORE-028,PROD-0104,1,229.0,0.0,Bank Transfer,Mobile App
ORD-020454,17/06/2025,CUST-03200,STORE-021,PROD-0026,2,261.91,26.19,Bank Transfer,Marketplace
ORD-018179,06-07-2025,CUST-00006,STORE-027,PROD-0086,2,499.01,99.8,Debit Card,Marketplace
ORD-006180,23/10/2025,CUST-02917,STORE-011,PROD-0106,1,391.67,19.58,Bank Transfer,Mobile App
ORD-002741,2025-12-22,CUST-00360,STORE-010,PROD-0154,3,496.26,372.19,Debit Card,Marketplace
ORD-011336,2025-06-28,CUST-04885,STORE-006,PROD-0091,1,318.54,31.85,Bank Transfer,Website
ORD-017792,20/12/2025,CUST-02301,STORE-028,PROD-0154,3,484.27,145.28,Credit Card,Mobile App
ORD-019162,10-03-2025,CUST-03368,STORE-011,PROD-0140,2,80.0,8.0,Bank Transfer,Marketplace
ORD-017269,2025-07-31,CUST-04072,STORE-019,PROD-0090,2,79.6,15.92,Debit Card,Mobile App
ORD-024917,2025-09-02,CUST-01731,STORE-008,PROD-0019,1,54.28,13.57,Cash,Website
ORD-000964,2025-09-14,CUST-01715,STORE-007,PROD-0176,1,154.97,0.0,Credit Card,Marketplace
ORD-014304,02-20-2025,CUST-04641,STORE-016,PROD-0157,1,33.66,3.37,Bank Transfer,Marketplace
ORD-000424,01-07-2025,CUST-01151,STORE-026,PROD-0032,2,101.71,0.0,Credit Card,Mobile App
ORD-001203,06/02/2025,CUST-01747,STORE-011,PROD-0053,2,9.9,0.99,Wallet,Physical Store
ORD-009247,2025-07-15,CUST-02307,STORE-020,PROD-0088,1,286.56,14.33,Credit Card,Mobile App
ORD-003861,02-05-2025,CUST-00603,STORE-002,PROD-0174,1,72.2,0.0,Debit Card,Website
ORD-014525,01-15-2025,CUST-04220,STORE-011,PROD-0033,2,17.09,8.54,Cash,Marketplace
ORD-008443,07-30-2025,CUST-04226,STORE-029,PROD-0140,5,62.0,46.5,Bank Transfer,Physical Store
ORD-008038,2025-11-19,CUST-02736,STORE-020,PROD-0043,1,123.51,18.53,Bank Transfer,Website
ORD-010444,19/02/2025,CUST-03322,STORE-011,PROD-0122,2,534.66,106.93,Cash,Physical Store
ORD-000324,17/02/2025,CUST-04575,STORE-001,PROD-0007,3,263.19,39.48,Credit Card,Mobile App
ORD-008214,20/04/2025,CUST-02251,STORE-028,PROD-0075,1,85.91,0.0,Debit Card,Website
ORD-004872,28/07/2025,CUST-02964,STORE-001,PROD-0034,1,528.86,0.0,Bank Transfer,Physical Store
ORD-003078,2025-04-14,CUST-03153,STORE-011,PROD-0144,1,78.58,0.0,Credit Card,Mobile App
ORD-020780,11-30-2025,,STORE-008,PROD-0104,1,454.68,113.67,Wallet,Marketplace
ORD-009711,03-24-2025,CUST-01050,STORE-021,PROD-0103,4,111.04,22.21,Debit Card,Physical Store
ORD-009227,07-25-2025,CUST-00630,STORE-021,PROD-0080,2,191.27,0.0,Credit Card,Website
ORD-009721,02-14-2025,CUST-03972,STORE-010,PROD-0045,5,180.92,45.23,Debit Card,Mobile App
ORD-004956,2025-03-09,CUST-02295,STORE-030,PROD-0132,1,147.48,14.75,Credit Card,Physical Store
ORD-022315,23/04/2025,CUST-04616,STORE-019,PROD-0086,1,492.98,49.3,Wallet,Website
ORD-003877,06-02-2025,CUST-00238,STORE-017,PROD-0101,1,268.67,26.87,Bank Transfer,Marketplace
ORD-008680,06-16-2025,CUST-02202,STORE-014,PROD-0022,1,381.01,0.0,Debit Card,Marketplace
ORD-022780,2025-01-13,CUST-00552,STORE-013,PROD-0073,2,292.25,0.0,Wallet,Website
ORD-000641,23/06/2025,CUST-02173,STORE-010,PROD-0070,4,560.03,0.0,Bank Transfer,Mobile App
ORD-013156,05/01/2025,CUST-03527,STORE-007,PROD-0094,1,362.47,0.0,Debit Card,Physical Store
ORD-018088,2025-01-03,CUST-00240,STORE-029,PROD-0017,1,63.93,0.0,Debit Card,Mobile App
ORD-015000,09-22-2025,CUST-02821,STORE-015,PROD-0046,1,98.44,0.0,Wallet,Physical Store
ORD-021891,2025-07-15,CUST-04655,STORE-023,PROD-0018,2,525.17,52.52,Wallet,Mobile App
ORD-017403,2025-01-07,CUST-01637,STORE-022,PROD-0153,2,330.07,264.06,Cash,Physical Store
ORD-020923,09-24-2025,CUST-04211,STORE-019,PROD-0066,1,443.95,0.0,Debit Card,Website
ORD-012188,2025-11-28,CUST-02854,STORE-017,PROD-0102,1,292.43,0.0,Debit Card,Website
ORD-009964,09-05-2025,CUST-02389,STORE-027,PROD-0002,1,16.82,0.0,Debit Card,Website
ORD-005474,01-10-2025,CUST-04919,STORE-005,PROD-0113,4,446.65,0.0,Cash,Marketplace
ORD-011007,2025-06-03,CUST-00821,STORE-027,PROD-0032,3,98.65,14.8,Debit Card,Marketplace
ORD-020091,11/11/2025,CUST-02822,STORE-015,PROD-0036,1,437.7,0.0,Cash,Physical Store
ORD-012167,2025-01-29,CUST-01070,STORE-007,PROD-0143,1,141.8,0.0,Wallet,Website
ORD-007668,2025-03-11,CUST-02857,STORE-006,PROD-0116,2,225.16,0.0,Credit Card,Mobile App
ORD-019149,03/02/2025,CUST-01859,STORE-018,PROD-0132,3,142.73,42.82,Cash,Website
ORD-015537,2025-07-04,CUST-04710,STORE-016,PROD-0028,1,295.08,44.26,Bank Transfer,Mobile App
ORD-001711,08/12/2025,CUST-02200,STORE-001,PROD-0061,3,566.58,679.9,Cash,Mobile App
ORD-010447,2025-11-17,CUST-04000,STORE-013,PROD-0055,1,380.69,19.03,Wallet,Marketplace
ORD-017162,01-20-2025,CUST-02900,STORE-005,PROD-0108,1,455.61,45.56,Wallet,Mobile App
ORD-012054,25/09/2025,,STORE-007,PROD-0016,2,210.91,0.0,Bank Transfer,Website
ORD-002859,2025-02-05,CUST-04765,STORE-027,PROD-0171,2,309.37,0.0,Wallet,Mobile App
ORD-004707,2025-02-19,CUST-04750,STORE-008,PROD-0076,2,200.15,0.0,Credit Card,Marketplace
ORD-002735,21/01/2025,CUST-01266,STORE-007,PROD-0139,2,76.64,0.0,Cash,Marketplace
ORD-005677,2025-01-17,CUST-02379,STORE-007,PROD-0007,1,237.28,0.0,Debit Card,Website
ORD-017117,01-13-2025,CUST-03121,STORE-006,PROD-0021,2,271.79,54.36,Cash,Marketplace
ORD-004149,04-14-2025,CUST-02747,STORE-027,PROD-0098,1,119.57,0.0,Debit Card,Marketplace
ORD-003046,24/06/2025,CUST-02923,STORE-006,PROD-0091,1,374.07,93.52,Credit Card,Physical Store
ORD-017888,24/09/2025,CUST-02675,STORE-002,PROD-0072,1,149.98,7.5,Bank Transfer,Physical Store
ORD-024662,11-10-2025,CUST-00001,STORE-004,PROD-0026,4,215.92,0.0,Cash,Physical Store
ORD-007459,30/01/2025,CUST-04354,STORE-028,PROD-0137,2,229.13,183.3,Cash,Marketplace
ORD-022326,07-27-2025,CUST-00105,STORE-018,PROD-0013,2,675.83,337.92,Debit Card,Website
ORD-010183,06-12-2025,CUST-03217,STORE-011,PROD-0143,1,133.16,13.32,Wallet,Marketplace
ORD-020373,2025-12-18,CUST-01281,STORE-027,PROD-0092,5,470.17,117.54,Debit Card,Physical Store
ORD-014168,2025-11-06,CUST-02738,STORE-018,PROD-0044,2,90.9,27.27,Wallet,Mobile App
ORD-005720,01/03/2025,CUST-01159,STORE-022,PROD-0015,4,158.57,31.71,Credit Card,Mobile App
ORD-001823,28/01/2025,CUST-02501,STORE-022,PROD-0045,3,179.09,134.32,Debit Card,Mobile App
ORD-023375,02-24-2025,CUST-02982,STORE-024,PROD-0170,3,455.5,204.97,Cash,Physical Store
ORD-008689,17/08/2025,CUST-03264,STORE-018,PROD-0055,2,427.8,0.0,Debit Card,Mobile App
ORD-001924,07/09/2025,CUST-01788,STORE-006,PROD-0169,2,175.5,0.0,Cash,Mobile App
ORD-014055,01-31-2025,CUST-02387,STORE-028,PROD-0040,2,87.76,0.0,Bank Transfer,Marketplace
ORD-024666,08/12/2025,CUST-04626,STORE-020,PROD-0088,1,198.05,9.9,Debit Card,Marketplace
ORD-023706,15/05/2025,CUST-01597,STORE-018,PROD-0122,3,291.97,218.98,Debit Card,Marketplace
ORD-003582,12-19-2025,CUST-03818,STORE-016,PROD-0008,2,551.03,0.0,Wallet,Physical Store
ORD-011177,19/03/2025,CUST-03118,STORE-007,PROD-0154,1,457.4,45.74,Wallet,Website
ORD-016506,2025-03-18,CUST-04754,STORE-004,PROD-0094,4,560.76,0.0,Cash,Marketplace
ORD-018465,2025-07-16,CUST-03951,STORE-019,PROD-0154,1,660.11,33.01,Debit Card,Website
ORD-002584,25/02/2025,CUST-03257,STORE-008,PROD-0139,1,65.4,3.27,Debit Card,Mobile App
ORD-009587,05-21-2025,CUST-03195,STORE-004,PROD-0122,1,484.7,0.0,Cash,Mobile App
ORD-007878,08-25-2025,CUST-03688,STORE-014,PROD-0161,1,47.73,4.77,Cash,Mobile App
ORD-006620,2025-09-26,CUST-04960,STORE-019,PROD-0106,1,336.28,16.81,Cash,Mobile App
ORD-022490,04/10/2025,CUST-04873,STORE-005,PROD-0108,2,439.37,0.0,Bank Transfer,Mobile App
ORD-024807,2025-01-15,CUST-01816,STORE-030,PROD-0172,1,211.83,0.0,Credit Card,Mobile App
ORD-000197,2025-04-24,CUST-03798,STORE-014,PROD-0177,1,351.77,35.18,Cash,Physical Store
ORD-013675,07-15-2025,CUST-02909,STORE-006,PROD-0046,3,86.27,12.94,Debit Card,Physical Store
ORD-007073,01-05-2025,CUST-04007,STORE-019,PROD-0154,1,463.69,69.55,Bank Transfer,Website
ORD-001115,2025-08-24,CUST-00685,STORE-026,PROD-0101,1,229.98,0.0,Wallet,Marketplace
ORD-011093,02-06-2025,CUST-02446,STORE-011,PROD-0054,2,310.71,0.0,Credit Card,Physical Store
ORD-006649,03-02-2025,,STORE-030,PROD-0025,1,167.99,0.0,Debit Card,Mobile App
ORD-004535,21/02/2025,CUST-00596,STORE-025,PROD-0054,1,287.8,0.0,Wallet,Physical Store
ORD-000313,2025-02-22,CUST-01697,STORE-016,PROD-0094,2,489.49,244.75,Wallet,Marketplace
ORD-003590,2025-11-09,CUST-04528,STORE-029,PROD-0121,3,213.17,0.0,Bank Transfer,Physical Store
ORD-019077,08-10-2025,CUST-00194,STORE-028,PROD-0010,1,299.19,14.96,Wallet,Website
ORD-022805,20/01/2025,CUST-01558,STORE-024,PROD-0113,2,452.66,90.53,Debit Card,Marketplace
ORD-018209,2025-05-20,CUST-02756,STORE-001,PROD-0034,1,449.66,44.97,Wallet,Website
ORD-019865,03/11/2025,CUST-02990,STORE-024,PROD-0107,1,92.84,13.93,Wallet,Marketplace
ORD-003878,04-14-2025,CUST-03785,STORE-009,PROD-0179,1,235.95,11.8,Debit Card,Mobile App
ORD-002684,09-12-2025,CUST-02305,STORE-010,PROD-0039,1,297.41,0.0,Bank Transfer,Website
ORD-010835,2025-05-24,CUST-03001,STORE-025,PROD-0101,1,207.2,10.36,Credit Card,Physical Store
ORD-016516,05-21-2025,CUST-01591,STORE-015,PROD-0141,1,193.26,0.0,Debit Card,Mobile App
ORD-019004,15/05/2025,CUST-03767,STORE-011,PROD-0125,1,147.86,0.0,Credit Card,Mobile App
ORD-017247,09-19-2025,CUST-01033,STORE-026,PROD-0125,4,146.05,58.42,Wallet,Website
ORD-014669,2025-09-24,CUST-04270,STORE-017,PROD-0158,1,222.82,0.0,Cash,Marketplace
ORD-004668,12/01/2025,CUST-04972,STORE-015,PROD-0168,1,573.59,57.36,Cash,Mobile App
ORD-001969,05/10/2025,CUST-04968,STORE-005,PROD-0127,4,373.75,0.0,Credit Card,Physical Store
ORD-001457,03/10/2025,CUST-01260,STORE-028,PROD-0002,1,29.84,0.0,Bank Transfer,Marketplace
ORD-018958,2025-05-14,CUST-04716,STORE-019,PROD-0115,2,182.0,0.0,Wallet,Mobile App
ORD-012293,12-13-2025,CUST-04571,STORE-011,PROD-0097,3,140.04,168.05,Credit Card,Marketplace
ORD-020175,2025-12-27,CUST-02924,STORE-001,PROD-0086,2,415.78,0.0,Debit Card,Mobile App
ORD-018767,05-05-2025,CUST-01882,STORE-026,PROD-0149,2,78.07,0.0,Debit Card,Mobile App
ORD-013673,2025-10-17,CUST-03658,STORE-013,PROD-0167,1,118.21,11.82,Wallet,Physical Store
ORD-008765,2025-10-01,CUST-01403,STORE-006,PROD-0073,2,215.31,64.59,Wallet,Mobile App
ORD-022779,12/10/2025,CUST-04785,STORE-019,PROD-0112,1,249.69,0.0,Credit Card,Marketplace
ORD-005848,2025-05-16,CUST-03125,STORE-024,PROD-0178,2,85.27,0.0,Credit Card,Website
ORD-007722,2025-07-27,CUST-00897,STORE-027,PROD-0097,1,177.2,0.0,Debit Card,Marketplace
ORD-015005,25/07/2025,CUST-04373,STORE-021,PROD-0121,2,207.19,0.0,Cash,Mobile App
ORD-005220,01/02/2025,CUST-03072,STORE-005,PROD-0141,2,297.22,89.17,Cash,Physical Store
ORD-014645,11/07/2025,CUST-02840,STORE-026,PROD-0120,1,122.72,18.41,Wallet,Physical Store
ORD-000537,23/05/2025,CUST-01963,STORE-002,PROD-0110,1,216.56,54.14,Credit Card,Mobile App
ORD-014024,17/07/2025,CUST-02577,STORE-020,PROD-0080,1,196.01,0.0,Wallet,Mobile App
ORD-019132,2025-02-04,CUST-01908,STORE-002,PROD-0130,1,304.47,30.45,Cash,Marketplace
ORD-015641,27/12/2025,CUST-03901,STORE-013,PROD-0095,2,335.88,0.0,Wallet,Physical Store
ORD-018503,2025-08-15,CUST-03545,STORE-006,PROD-0010,1,350.05,52.51,Bank Transfer,Website
ORD-003316,2025-06-12,CUST-00375,STORE-008,PROD-0135,1,389.82,0.0,Wallet,Mobile App
ORD-018196,2025-11-30,CUST-00013,STORE-006,PROD-0050,2,358.27,107.48,Wallet,Physical Store
ORD-007593,2025-03-02,CUST-04559,STORE-010,PROD-0034,1,437.02,0.0,Credit Card,Physical Store
ORD-014215,2025-01-04,CUST-04645,STORE-008,PROD-0027,1,31.96,0.0,Bank Transfer,Marketplace
ORD-006254,11/07/2025,CUST-02661,STORE-015,PROD-0153,1,598.98,0.0,Debit Card,Physical Store
ORD-017997,01-03-2025,CUST-04214,STORE-014,PROD-0024,1,323.05,0.0,Debit Card,Marketplace
ORD-004060,09-11-2025,CUST-02512,STORE-016,PROD-0104,1,223.88,11.19,Bank Transfer,Website
ORD-020623,04-03-2025,CUST-04883,STORE-001,PROD-0084,4,154.84,0.0,Credit Card,Physical Store
ORD-024124,05-05-2025,CUST-01699,STORE-002,PROD-0132,2,119.17,35.75,Credit Card,Mobile App
ORD-017589,2025-01-08,CUST-03468,STORE-020,PROD-0099,3,281.56,0.0,Debit Card,Website
ORD-015634,04-01-2025,CUST-00904,STORE-003,PROD-0083,1,261.03,0.0,Wallet,Marketplace
ORD-002908,29/04/2025,CUST-03620,STORE-014,PROD-0114,2,484.39,0.0,Cash,Marketplace
ORD-021584,02/10/2025,CUST-02949,STORE-012,PROD-0149,3,49.43,0.0,Wallet,Marketplace
ORD-012634,11-19-2025,CUST-03682,STORE-016,PROD-0145,1,20.36,8.14,Cash,Mobile App
ORD-003526,2025-07-30,CUST-01459,STORE-019,PROD-0139,1,57.61,0.0,Cash,Marketplace
ORD-010077,13/07/2025,CUST-03767,STORE-022,PROD-0176,1,154.79,23.22,Bank Transfer,Physical Store
ORD-009732,05-06-2025,CUST-03812,STORE-006,PROD-0169,2,239.09,47.82,Credit Card,Website
ORD-006085,26/04/2025,CUST-03122,STORE-008,PROD-0052,2,70.46,35.23,Bank Transfer,Website
ORD-008961,20/02/2025,CUST-04592,STORE-005,PROD-0032,2,103.47,0.0,Cash,Physical Store
ORD-010429,10-04-2025,CUST-01995,STORE-028,PROD-0116,1,330.2,0.0,Bank Transfer,Marketplace
ORD-014064,11-16-2025,CUST-00347,STORE-002,PROD-0099,1,201.21,10.06,Wallet,Marketplace
ORD-008080,11/08/2025,CUST-02805,STORE-021,PROD-0172,1,273.13,40.97,Bank Transfer,Marketplace
ORD-024717,14/06/2025,CUST-04880,STORE-029,PROD-0048,1,479.96,0.0,Debit Card,Website
ORD-016487,2025-04-18,CUST-04697,STORE-025,PROD-0070,1,418.73,0.0,Cash,Marketplace
ORD-003849,2025-02-23,CUST-01539,STORE-002,PROD-0176,1,246.04,24.6,Bank Transfer,Mobile App
ORD-016346,01/03/2025,CUST-04413,STORE-026,PROD-0016,1,418.47,0.0,Cash,Physical Store
ORD-007299,02/10/2025,CUST-00872,STORE-025,PROD-0135,2,299.42,0.0,Bank Transfer,Physical Store
ORD-021614,2025-03-07,CUST-04624,STORE-016,PROD-0062,1,97.48,24.37,Credit Card,Website
ORD-005552,2025-07-10,CUST-01526,STORE-008,PROD-0158,1,363.1,18.16,Cash,Marketplace
ORD-002062,2025-05-09,,STORE-022,PROD-0117,2,242.12,48.42,Credit Card,Marketplace
ORD-009738,2025-06-04,CUST-01679,STORE-009,PROD-0129,1,227.76,11.39,Credit Card,Mobile App
ORD-021367,08/04/2025,CUST-01451,STORE-006,PROD-0073,1,353.64,0.0,Cash,Physical Store
ORD-021397,24/09/2025,CUST-01813,STORE-006,PROD-0129,2,215.16,64.55,Debit Card,Website
ORD-012649,03/04/2025,CUST-04035,STORE-008,PROD-0091,2,333.3,0.0,Debit Card,Marketplace
ORD-024147,08-01-2025,CUST-00791,STORE-024,PROD-0133,1,292.12,0.0,Cash,Mobile App
ORD-000627,01-29-2025,CUST-03669,STORE-001,PROD-0162,1,184.08,46.02,Cash,Mobile App
ORD-017400,17/10/2025,CUST-04918,STORE-021,PROD-0030,1,639.64,0.0,Debit Card,Mobile App
ORD-020387,2025-02-01,CUST-00704,STORE-024,PROD-0104,1,439.04,43.9,Debit Card,Website
ORD-022609,2025-02-08,CUST-04945,STORE-003,PROD-0168,1,331.34,16.57,Debit Card,Marketplace
ORD-011431,19/04/2025,CUST-03736,STORE-011,PROD-0002,1,28.36,1.42,Wallet,Website
ORD-024865,03-30-2025,CUST-00383,STORE-028,PROD-0152,1,302.53,30.25,Debit Card,Physical Store
ORD-005999,05-18-2025,CUST-02336,STORE-007,PROD-0162,3,183.14,137.35,Debit Card,Mobile App
ORD-012607,2025-11-26,CUST-04526,STORE-012,PROD-0043,1,82.33,8.23,Bank Transfer,Website
ORD-020049,13/10/2025,CUST-00139,STORE-009,PROD-0166,3,147.0,0.0,Debit Card,Website
ORD-005663,11-23-2025,CUST-01592,STORE-015,PROD-0155,3,430.24,0.0,Wallet,Marketplace
ORD-008478,20/01/2025,CUST-02364,STORE-030,PROD-0122,1,512.03,0.0,Bank Transfer,Marketplace
ORD-020487,2025-07-11,CUST-01419,STORE-018,PROD-0108,1,481.03,0.0,Credit Card,Physical Store
ORD-013462,2025-02-01,CUST-03104,STORE-010,PROD-0172,2,241.39,0.0,Cash,Website
ORD-016585,01-18-2025,CUST-00260,STORE-002,PROD-0108,2,343.48,0.0,Bank Transfer,Physical Store
ORD-008294,2025-07-19,CUST-02850,STORE-012,PROD-0011,2,224.34,67.3,Debit Card,Physical Store
ORD-015343,05/12/2025,CUST-04408,STORE-026,PROD-0044,1,120.68,0.0,Wallet,Website
ORD-021096,2025-10-03,CUST-04115,STORE-017,PROD-0127,5,402.61,201.31,Bank Transfer,Website
ORD-006905,26/06/2025,CUST-00985,STORE-002,PROD-0136,1,297.4,29.74,Wallet,Website
ORD-015002,19/08/2025,CUST-02609,STORE-004,PROD-0139,2,68.46,0.0,Credit Card,Mobile App
ORD-015695,07/02/2025,CUST-01842,STORE-019,PROD-0160,1,116.12,17.42,Cash,Website
ORD-013923,06-17-2025,CUST-02939,STORE-016,PROD-0068,2,18.51,1.85,Wallet,Website
ORD-008165,06-30-2025,CUST-03360,STORE-023,PROD-0107,2,155.76,0.0,Debit Card,Marketplace
ORD-018636,06-10-2025,CUST-00789,STORE-025,PROD-0163,3,409.88,61.48,Wallet,Website
ORD-014700,07-29-2025,CUST-00097,STORE-021,PROD-0028,1,448.65,0.0,Bank Transfer,Mobile App
ORD-016938,12/03/2025,CUST-02188,STORE-015,PROD-0066,1,385.16,57.77,Cash,Physical Store
ORD-013868,14/04/2025,CUST-04754,STORE-023,PROD-0090,1,122.96,0.0,Debit Card,Physical Store
ORD-011698,03-16-2025,CUST-00687,STORE-013,PROD-0136,1,579.94,29.0,Bank Transfer,Website
ORD-023903,22/10/2025,CUST-04607,STORE-004,PROD-0026,1,251.24,37.69,Bank Transfer,Physical Store
ORD-014495,09-07-2025,CUST-00742,STORE-014,PROD-0040,3,144.01,21.6,Debit Card,Physical Store
ORD-010428,2025-10-03,CUST-04288,STORE-009,PROD-0038,1,378.15,18.91,Wallet,Website
ORD-018054,17/05/2025,CUST-00132,STORE-015,PROD-0015,1,270.9,13.54,Wallet,Mobile App
ORD-010360,30/07/2025,CUST-00371,STORE-013,PROD-0028,2,368.44,36.84,Credit Card,Website
ORD-011846,05-25-2025,CUST-03959,STORE-026,PROD-0078,2,174.03,87.02,Wallet,Mobile App
ORD-016201,02-27-2025,CUST-03970,STORE-012,PROD-0118,3,21.81,0.0,Cash,Website
ORD-020831,09/04/2025,CUST-00476,STORE-014,PROD-0060,2,109.4,21.88,Bank Transfer,Website
