return_id,order_id,product_id,return_date,return_reason,refunded_amount
RET-000001,ORD-014476,PROD-0030,16/01/2026,Defective product,611.91
RET-000002,ORD-018361,PROD-0063,09-06-2025,Wrong size,49.77
RET-000003,ORD-015264,PROD-0122,2026-01-01,Wrong size,262.35
RET-000004,ORD-019782,PROD-0064,08-03-2025,Product not as described,201.91
RET-000005,ORD-016570,PROD-0145,2025-09-22,Defective product,67.86
RET-000006,ORD-016111,PROD-0038,05-15-2025,Product not as described,368.96
RET-000007,ORD-004329,PROD-0156,2025-01-31,Late delivery,175.95
RET-000008,ORD-019368,PROD-0173,09/07/2025,Wrong size,44.21
RET-000009,ORD-013403,PROD-0044,2025-03-17,Product not as described,109.49
RET-000010,ORD-000759,PROD-0046,04-13-2025,Changed mind,488.84
RET-000011,ORD-008606,PROD-0081,02/01/2026,Wrong size,206.18
RET-000012,ORD-021515,PROD-0141,2025-06-23,Wrong size,255.9
RET-000013,ORD-012388,PROD-0145,16/11/2025,Changed mind,23.19
RET-000014,ORD-009847,PROD-0159,2025-05-26,Wrong size,233.46
RET-000015,ORD-022911,PROD-0162,11-17-2025,Wrong size,138.22
RET-000016,ORD-006743,PROD-0128,2025-12-28,Product not as described,124.22
RET-000017,ORD-005638,PROD-0019,14/06/2025,Changed mind,39.89
RET-000018,ORD-010696,PROD-0033,2025-04-21,Changed mind,36.8
RET-000019,ORD-008711,PROD-0033,12/01/2026,Late delivery,53.66
RET-000020,ORD-005918,PROD-0144,2025-02-25,Defective product,85.88
RET-000021,ORD-000051,PROD-0008,2025-08-19,Changed mind,727.45
RET-000022,ORD-002738,PROD-0098,2025-09-05,Product not as described,146.7
RET-000023,ORD-001306,PROD-0004,2025-10-15,Wrong size,349.75
RET-000024,ORD-021208,PROD-0063,2025-03-06,Changed mind,91.29
RET-000025,ORD-006175,PROD-0176,04-22-2025,Changed mind,460.76
RET-000026,ORD-008515,PROD-0169,10-03-2025,Changed mind,156.85
RET-000027,ORD-008935,PROD-0177,07-16-2025,Product not as described,1054.29
RET-000028,ORD-009144,PROD-0163,11-11-2025,Wrong size,1572.1
RET-000029,ORD-015198,PROD-0129,2025-09-29,Changed mind,969.54
RET-000030,ORD-005116,PROD-0031,01-03-2026,Changed mind,480.88
RET-000031,ORD-002971,PROD-0021,03-03-2025,Changed mind,379.2
